language,expert_id,count
jpn_Jpan,63,48
jpn_Jpan,59,10
jpn_Jpan,21,5
jpn_Jpan,16,15
jpn_Jpan,38,4
jpn_Jpan,50,2
jpn_Jpan,41,3
jpn_Jpan,45,2
jpn_Jpan,10,5
jpn_Jpan,48,8
jpn_Jpan,0,1
