lang,sentence_id,token_idx,expert_id
eng_Latn,0,0,60
eng_Latn,0,1,37
eng_Latn,0,2,54
eng_Latn,0,3,26
eng_Latn,0,4,40
eng_Latn,0,5,5
eng_Latn,0,6,61
eng_Latn,0,7,50
eng_Latn,0,8,24
eng_Latn,0,9,61
eng_Latn,0,10,48
eng_Latn,0,11,22
spa_Latn,1,0,60
spa_Latn,1,1,12
spa_Latn,1,2,19
spa_Latn,1,3,19
spa_Latn,1,4,8
spa_Latn,1,5,8
spa_Latn,1,6,19
spa_Latn,1,7,8
spa_Latn,1,8,8
spa_Latn,1,9,19
spa_Latn,1,10,19
spa_Latn,1,11,19
spa_Latn,1,12,8
spa_Latn,1,13,8
spa_Latn,1,14,8
spa_Latn,1,15,62
eng_Latn,2,0,60
eng_Latn,2,1,18
eng_Latn,2,2,19
eng_Latn,2,3,19
eng_Latn,2,4,34
eng_Latn,3,0,60
eng_Latn,3,1,22
eng_Latn,3,2,18
eng_Latn,3,3,55
eng_Latn,3,4,46
eng_Latn,3,5,57
eng_Latn,3,6,55
eng_Latn,3,7,3
eng_Latn,3,8,57
eng_Latn,3,9,15
eng_Latn,4,0,60
eng_Latn,4,1,45
eng_Latn,4,2,45
eng_Latn,4,3,38
eng_Latn,4,4,18
eng_Latn,4,5,56
eng_Latn,4,6,53
eng_Latn,4,7,23
eng_Latn,4,8,34
spa_Latn,5,0,60
spa_Latn,5,1,61
spa_Latn,5,2,8
spa_Latn,5,3,8
eng_Latn,6,0,60
eng_Latn,6,1,46
eng_Latn,6,2,57
eng_Latn,6,3,34
eng_Latn,7,0,60
eng_Latn,7,1,17
eng_Latn,7,2,10
eng_Latn,7,3,29
eng_Latn,7,4,23
eng_Latn,7,5,34
spa_Latn,8,0,60
spa_Latn,8,1,49
spa_Latn,8,2,5
spa_Latn,8,3,61
spa_Latn,8,4,47
spa_Latn,8,5,49
spa_Latn,8,6,61
spa_Latn,8,7,50
spa_Latn,8,8,61
spa_Latn,8,9,8
spa_Latn,8,10,52
spa_Latn,9,0,60
spa_Latn,9,1,8
spa_Latn,9,2,51
spa_Latn,9,3,1
spa_Latn,9,4,8
spa_Latn,9,5,61
spa_Latn,9,6,15
spa_Latn,9,7,8
spa_Latn,9,8,8
spa_Latn,9,9,61
spa_Latn,9,10,19
spa_Latn,9,11,8
spa_Latn,9,12,8
spa_Latn,9,13,8
spa_Latn,9,14,61
spa_Latn,9,15,8
eng_Latn,10,0,60
eng_Latn,10,1,53
eng_Latn,10,2,19
eng_Latn,10,3,39
eng_Latn,10,4,9
eng_Latn,10,5,3
eng_Latn,10,6,18
spa_Latn,11,0,60
spa_Latn,11,1,26
spa_Latn,11,2,47
spa_Latn,11,3,13
spa_Latn,11,4,13
spa_Latn,11,5,47
spa_Latn,11,6,19
