lang,sentence_id,token_idx,expert_id
jpn_Jpan,0,0,60
jpn_Jpan,0,1,52
jpn_Jpan,0,2,22
jpn_Jpan,0,3,12
jpn_Jpan,0,4,13
jpn_Jpan,0,5,47
jpn_Jpan,0,6,36
jpn_Jpan,0,7,19
jpn_Jpan,0,8,13
jpn_Jpan,0,9,24
jpn_Jpan,0,10,13
jpn_Jpan,0,11,13
jpn_Jpan,0,12,39
jpn_Jpan,0,13,13
jpn_Jpan,0,14,19
jpn_Jpan,0,15,39
jpn_Jpan,0,16,13
jpn_Jpan,0,17,13
jpn_Jpan,0,18,24
jpn_Jpan,0,19,24
jpn_Jpan,0,20,19
jpn_Jpan,0,21,36
jpn_Jpan,0,22,47
jpn_Jpan,0,23,24
jpn_Jpan,0,24,13
jpn_Jpan,0,25,47
jpn_Jpan,0,26,19
jpn_Jpan,0,27,13
jpn_Jpan,0,28,13
jpn_Jpan,0,29,13
jpn_Jpan,0,30,13
jpn_Jpan,0,31,24
jpn_Jpan,0,32,47
jpn_Jpan,0,33,13
jpn_Jpan,0,34,13
jpn_Jpan,0,35,24
jpn_Jpan,0,36,19
jpn_Jpan,0,37,13
jpn_Jpan,0,38,13
jpn_Jpan,0,39,34
eng_Latn,1,0,60
eng_Latn,1,1,40
eng_Latn,1,2,49
eng_Latn,1,3,56
eng_Latn,1,4,53
eng_Latn,1,5,37
eng_Latn,1,6,63
eng_Latn,1,7,18
eng_Latn,1,8,53
eng_Latn,1,9,16
jpn_Jpan,2,0,60
jpn_Jpan,2,1,13
jpn_Jpan,2,2,13
jpn_Jpan,2,3,12
jpn_Jpan,2,4,13
jpn_Jpan,2,5,13
jpn_Jpan,2,6,13
jpn_Jpan,2,7,24
jpn_Jpan,2,8,47
jpn_Jpan,2,9,13
jpn_Jpan,2,10,47
jpn_Jpan,2,11,13
jpn_Jpan,2,12,13
jpn_Jpan,2,13,13
jpn_Jpan,2,14,24
jpn_Jpan,2,15,61
jpn_Jpan,2,16,13
jpn_Jpan,2,17,13
jpn_Jpan,2,18,24
jpn_Jpan,2,19,13
jpn_Jpan,2,20,13
jpn_Jpan,2,21,19
jpn_Jpan,2,22,13
jpn_Jpan,2,23,34
eng_Latn,3,0,60
eng_Latn,3,1,30
eng_Latn,3,2,48
eng_Latn,3,3,48
eng_Latn,3,4,30
eng_Latn,3,5,19
eng_Latn,3,6,63
eng_Latn,4,0,60
eng_Latn,4,1,47
eng_Latn,4,2,8
eng_Latn,4,3,33
eng_Latn,4,4,33
eng_Latn,4,5,63
eng_Latn,4,6,12
eng_Latn,4,7,61
eng_Latn,4,8,26
eng_Latn,4,9,26
eng_Latn,4,10,26
eng_Latn,4,11,60
jpn_Jpan,5,0,60
jpn_Jpan,5,1,1
jpn_Jpan,5,2,52
jpn_Jpan,5,3,13
jpn_Jpan,5,4,24
jpn_Jpan,5,5,13
jpn_Jpan,5,6,34
jpn_Jpan,5,7,13
jpn_Jpan,5,8,24
jpn_Jpan,5,9,13
jpn_Jpan,5,10,13
jpn_Jpan,5,11,13
jpn_Jpan,5,12,13
jpn_Jpan,5,13,61
jpn_Jpan,5,14,13
jpn_Jpan,5,15,13
jpn_Jpan,5,16,19
jpn_Jpan,5,17,13
jpn_Jpan,5,18,13
jpn_Jpan,5,19,12
jpn_Jpan,5,20,19
jpn_Jpan,5,21,13
