lang,sentence_id,token_idx,expert_id
eng_Latn,0,0,60
eng_Latn,0,1,45
eng_Latn,0,2,18
eng_Latn,0,3,53
eng_Latn,0,4,16
eng_Latn,0,5,30
eng_Latn,0,6,46
eng_Latn,0,7,15
eng_Latn,1,0,60
eng_Latn,1,1,9
eng_Latn,1,2,58
eng_Latn,1,3,52
eng_Latn,1,4,9
eng_Latn,1,5,19
eng_Latn,1,6,39
eng_Latn,1,7,5
eng_Latn,1,8,1
eng_Latn,2,0,60
eng_Latn,2,1,18
eng_Latn,2,2,18
eng_Latn,2,3,20
eng_Latn,2,4,28
eng_Latn,2,5,34
eng_Latn,2,6,34
spa_Latn,3,0,60
spa_Latn,3,1,7
spa_Latn,3,2,40
spa_Latn,3,3,7
spa_Latn,3,4,8
spa_Latn,3,5,9
spa_Latn,3,6,19
spa_Latn,3,7,39
spa_Latn,3,8,8
spa_Latn,3,9,61
spa_Latn,3,10,8
spa_Latn,3,11,8
spa_Latn,3,12,9
spa_Latn,3,13,12
spa_Latn,3,14,52
spa_Latn,4,0,60
spa_Latn,4,1,8
spa_Latn,4,2,19
spa_Latn,4,3,8
spa_Latn,4,4,39
spa_Latn,4,5,19
spa_Latn,4,6,8
spa_Latn,4,7,8
spa_Latn,4,8,8
spa_Latn,4,9,19
spa_Latn,4,10,19
spa_Latn,4,11,8
spa_Latn,5,0,60
spa_Latn,5,1,19
spa_Latn,5,2,8
spa_Latn,5,3,8
spa_Latn,5,4,19
spa_Latn,5,5,39
spa_Latn,5,6,8
spa_Latn,6,0,60
spa_Latn,6,1,27
spa_Latn,6,2,52
spa_Latn,6,3,8
spa_Latn,6,4,8
spa_Latn,6,5,8
spa_Latn,6,6,8
spa_Latn,6,7,19
spa_Latn,6,8,37
spa_Latn,7,0,60
spa_Latn,7,1,19
spa_Latn,7,2,47
spa_Latn,7,3,47
spa_Latn,7,4,13
spa_Latn,7,5,13
spa_Latn,7,6,61
spa_Latn,7,7,19
spa_Latn,7,8,13
spa_Latn,7,9,13
spa_Latn,8,0,60
spa_Latn,8,1,9
spa_Latn,8,2,47
spa_Latn,8,3,19
spa_Latn,8,4,6
spa_Latn,8,5,8
spa_Latn,8,6,19
spa_Latn,8,7,15
spa_Latn,8,8,45
spa_Latn,8,9,46
spa_Latn,8,10,15
spa_Latn,9,0,60
spa_Latn,9,1,12
spa_Latn,9,2,19
spa_Latn,9,3,19
spa_Latn,9,4,8
spa_Latn,9,5,8
spa_Latn,9,6,19
spa_Latn,9,7,8
spa_Latn,9,8,8
spa_Latn,9,9,19
spa_Latn,9,10,19
spa_Latn,9,11,19
spa_Latn,9,12,8
spa_Latn,9,13,8
spa_Latn,9,14,8
spa_Latn,9,15,62
eng_Latn,10,0,60
eng_Latn,10,1,49
eng_Latn,10,2,12
eng_Latn,10,3,39
eng_Latn,11,0,60
eng_Latn,11,1,57
eng_Latn,11,2,47
eng_Latn,11,3,8
eng_Latn,11,4,47
spa_Latn,12,0,60
