lang,sentence_id,token_idx,expert_id
spa_Latn,0,0,60
spa_Latn,0,1,35
spa_Latn,0,2,19
spa_Latn,0,3,47
spa_Latn,0,4,8
spa_Latn,0,5,19
spa_Latn,0,6,46
spa_Latn,0,7,8
spa_Latn,0,8,8
spa_Latn,0,9,56
spa_Latn,0,10,19
spa_Latn,0,11,8
spa_Latn,1,0,60
spa_Latn,1,1,49
spa_Latn,1,2,5
spa_Latn,1,3,52
spa_Latn,1,4,19
spa_Latn,1,5,7
spa_Latn,1,6,12
spa_Latn,1,7,27
spa_Latn,1,8,13
spa_Latn,1,9,9
spa_Latn,2,0,60
spa_Latn,2,1,19
spa_Latn,2,2,22
spa_Latn,2,3,22
spa_Latn,2,4,47
spa_Latn,2,5,40
spa_Latn,2,6,19
spa_Latn,2,7,49
spa_Latn,2,8,8
spa_Latn,2,9,8
spa_Latn,2,10,19
spa_Latn,2,11,49
spa_Latn,2,12,19
spa_Latn,2,13,49
spa_Latn,2,14,37
spa_Latn,2,15,27
spa_Latn,3,0,60
spa_Latn,3,1,47
spa_Latn,3,2,19
spa_Latn,3,3,46
spa_Latn,3,4,7
spa_Latn,3,5,47
spa_Latn,3,6,8
spa_Latn,3,7,8
spa_Latn,3,8,8
spa_Latn,3,9,19
spa_Latn,3,10,8
spa_Latn,3,11,8
spa_Latn,3,12,30
spa_Latn,3,13,19
spa_Latn,3,14,8
spa_Latn,3,15,8
spa_Latn,4,0,60
spa_Latn,4,1,19
spa_Latn,4,2,8
spa_Latn,4,3,39
spa_Latn,4,4,19
spa_Latn,4,5,39
spa_Latn,4,6,8
spa_Latn,4,7,8
spa_Latn,4,8,47
spa_Latn,4,9,49
spa_Latn,4,10,26
spa_Latn,4,11,26
spa_Latn,4,12,8
spa_Latn,5,0,60
spa_Latn,5,1,6
spa_Latn,5,2,34
spa_Latn,5,3,8
spa_Latn,5,4,19
spa_Latn,5,5,8
spa_Latn,5,6,16
spa_Latn,6,0,60
spa_Latn,6,1,8
spa_Latn,6,2,19
spa_Latn,6,3,8
spa_Latn,6,4,8
spa_Latn,6,5,54
spa_Latn,6,6,8
spa_Latn,6,7,8
spa_Latn,6,8,8
spa_Latn,6,9,61
spa_Latn,6,10,8
spa_Latn,6,11,8
spa_Latn,6,12,8
spa_Latn,6,13,52
spa_Latn,7,0,60
spa_Latn,7,1,46
spa_Latn,7,2,8
spa_Latn,7,3,8
spa_Latn,7,4,8
spa_Latn,7,5,19
spa_Latn,7,6,34
spa_Latn,7,7,6
spa_Latn,7,8,61
spa_Latn,7,9,39
spa_Latn,7,10,15
spa_Latn,7,11,8
spa_Latn,7,12,8
spa_Latn,8,0,60
spa_Latn,8,1,40
spa_Latn,8,2,11
spa_Latn,8,3,61
spa_Latn,8,4,22
spa_Latn,8,5,19
spa_Latn,8,6,22
spa_Latn,9,0,60
spa_Latn,9,1,49
spa_Latn,9,2,19
spa_Latn,9,3,40
spa_Latn,9,4,61
spa_Latn,9,5,1
spa_Latn,9,6,28
spa_Latn,9,7,47
spa_Latn,9,8,52
spa_Latn,10,0,60
spa_Latn,10,1,52
spa_Latn,10,2,1
spa_Latn,10,3,8
spa_Latn,11,0,60
spa_Latn,11,1,47
spa_Latn,11,2,8
spa_Latn,11,3,8
spa_Latn,11,4,8
spa_Latn,11,5,5
spa_Latn,11,6,52
spa_Latn,11,7,19
spa_Latn,11,8,37
spa_Latn,11,9,12
spa_Latn,11,10,27
spa_Latn,11,11,7
spa_Latn,11,12,9
spa_Latn,12,0,60
spa_Latn,12,1,8
spa_Latn,12,2,8
spa_Latn,12,3,1
spa_Latn,12,4,8
spa_Latn,12,5,56
spa_Latn,12,6,8
spa_Latn,12,7,8
spa_Latn,12,8,57
spa_Latn,12,9,7
spa_Latn,12,10,8
spa_Latn,12,11,8
spa_Latn,12,12,8
spa_Latn,12,13,24
spa_Latn,13,0,60
spa_Latn,13,1,19
spa_Latn,13,2,34
spa_Latn,13,3,42
spa_Latn,13,4,27
spa_Latn,13,5,27
spa_Latn,13,6,51
spa_Latn,13,7,8
spa_Latn,13,8,19
spa_Latn,13,9,34
spa_Latn,13,10,8
spa_Latn,13,11,8
spa_Latn,13,12,47
spa_Latn,13,13,34
spa_Latn,14,0,60
spa_Latn,14,1,40
spa_Latn,14,2,5
spa_Latn,14,3,7
spa_Latn,14,4,8
spa_Latn,14,5,61
spa_Latn,14,6,8
spa_Latn,14,7,8
spa_Latn,14,8,8
spa_Latn,14,9,8
spa_Latn,14,10,19
spa_Latn,14,11,8
spa_Latn,14,12,8
spa_Latn,14,13,8
spa_Latn,14,14,8
spa_Latn,15,0,60
spa_Latn,15,1,46
spa_Latn,15,2,8
spa_Latn,16,0,60
spa_Latn,16,1,47
spa_Latn,16,2,15
spa_Latn,16,3,10
spa_Latn,17,0,60
spa_Latn,17,1,8
spa_Latn,18,0,60
spa_Latn,18,1,8
spa_Latn,18,2,8
spa_Latn,18,3,8
spa_Latn,18,4,8
spa_Latn,18,5,2
spa_Latn,18,6,49
spa_Latn,18,7,26
spa_Latn,19,0,60
spa_Latn,19,1,54
spa_Latn,19,2,52
spa_Latn,19,3,47
spa_Latn,19,4,8
spa_Latn,19,5,46
spa_Latn,19,6,8
spa_Latn,19,7,20
spa_Latn,19,8,27
spa_Latn,19,9,47
spa_Latn,19,10,10
spa_Latn,19,11,5
spa_Latn,19,12,52
spa_Latn,20,0,60
spa_Latn,20,1,39
spa_Latn,20,2,19
spa_Latn,20,3,8
spa_Latn,20,4,19
spa_Latn,20,5,8
spa_Latn,20,6,8
spa_Latn,20,7,8
spa_Latn,20,8,8
spa_Latn,20,9,19
spa_Latn,20,10,19
spa_Latn,20,11,8
spa_Latn,21,0,60
spa_Latn,21,1,61
spa_Latn,21,2,8
spa_Latn,21,3,8
spa_Latn,21,4,8
spa_Latn,21,5,8
spa_Latn,21,6,15
spa_Latn,21,7,8
spa_Latn,21,8,47
spa_Latn,21,9,19
spa_Latn,21,10,8
spa_Latn,21,11,47
spa_Latn,21,12,47
spa_Latn,21,13,19
spa_Latn,21,14,8
spa_Latn,22,0,60
spa_Latn,22,1,12
spa_Latn,22,2,27
spa_Latn,22,3,8
spa_Latn,22,4,11
spa_Latn,22,5,19
spa_Latn,22,6,8
spa_Latn,22,7,8
